id	name	hmdb_id	conditions	indication_types	concentration	age	sex	biofluid	citation
91	Estrone	HMDB0000145	Normal	Diagnostic	0.00017 (0.000099-0.00024) uM	Adult	Female	Blood	Reichman, M. E., Judd, J. T., Longcope, C., Schatzkin, A., Clevidence, B. A., Nair, P. P., Campbell, W. S. & Taylor, P. R. Effects of alcohol consumption on plasma and urinary hormone concentrations in premenopausal women. J Natl Cancer Inst 85, 722-727 (1993).
91	Estrone	HMDB0000145	Normal	Diagnostic	35 (10-60) pg/mL	Adult: >=18 yrs	Male	Serum	Mayo Clinic Test Catalog
91	Estrone	HMDB0000145	Normal	Diagnostic	108.5 (17-200) pg/mL	Adult: >=18 yrs	Female	Serum	Mayo Clinic Test Catalog
91	Estrone	HMDB0000145	Normal	Diagnostic	23.5 (7-40) pg/mL	Adult: >=18 yrs	Female	Serum	Mayo Clinic Test Catalog
92	L-Glutamic acid	HMDB0000148	Schizophrenia	Diagnostic	0.32 (0.23-0.41) uM	Adult	Both	Cerebrospinal Fluid (CSF)	Do, K. Q., Lauer, C. J., Schreiber, W., Zollinger, M., Gutteck-Amsler, U., Cuenod, M. & Holsboer, F. gamma-Glutamylglutamine and taurine concentrations are decreased in the cerebrospinal fluid of drug-naive patients with schizophrenic disorders. J Neurochem 65, 2652-2662 (1995).
92	L-Glutamic acid	HMDB0000148	Normal	Diagnostic	1.8 (1.1-2.5) uM	Adult	Both	Cerebrospinal Fluid (CSF)	Wishart, D. S., Lewis, M. J., Morrissey, J. A., Flegel, M. D., Jeroncic, K., Xiong, Y., Cheng, D., Eisner, R., Gautam, B., Tzur, D., Sawhney, S., Bamforth, F., Greiner, R. & Li, L. The human cerebrospinal fluid metabolome. J Chromatogr B Analyt Technol Biomed Life Sci 871, 164-173 (2008).
92	L-Glutamic acid	HMDB0000148	Leukemia	Diagnostic	23.6 (15.1-32.1) uM	Children	Unknown	Cerebrospinal Fluid (CSF)	Peng, C. T., Wu, K. H., Lan, S. J., Tsai, J. J., Tsai, F. J. & Tsai, C. H. Amino acid concentrations in cerebrospinal fluid in children with acute lymphoblastic leukemia undergoing chemotherapy. Eur J Cancer 41, 1158-1163 (2005).
92	L-Glutamic acid	HMDB0000148	Normal	Diagnostic	0.22 (0.14-0.30) uM	Children	Unknown	Cerebrospinal Fluid (CSF)	Pubmed_ID: 8916158
92	L-Glutamic acid	HMDB0000148	Anoxia	Diagnostic	2500.0 (2100.0-2900.0) uM	Adult	Both	Cellular Cytoplasm	Zupke, C., Sinskey, A. J. & Stephanopoulos, G. Intracellular flux analysis applied to the effect of dissolved oxygen on hybridomas. Appl Microbiol Biotechnol 44, 27-36 (1995).
92	L-Glutamic acid	HMDB0000148	Normal	Diagnostic	1400.0 (1200.0-1600.0) uM	Adult	Both	Cellular Cytoplasm	Zupke, C., Sinskey, A. J. & Stephanopoulos, G. Intracellular flux analysis applied to the effect of dissolved oxygen on hybridomas. Appl Microbiol Biotechnol 44, 27-36 (1995).
